"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"6285","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","6287","0.0-0.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","","","","","","","","","","","","",""
"11171","","","survey-multi-choice","1","17462","0.0-1.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"5173","","","survey-multi-choice","2","22638","0.0-3.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"4600","","","survey-text","3","27242","0.0-5.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","{""Q0"":""6413576c64e0788a8f2e058e""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.54","","","","","","","","","","",""
"","","","fullscreen","4","32778","0.0-6.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","","","true","","","","","","","","","",""
"31314","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/Reeses.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Timtam_double_coat.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","64094","0.0-7.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","instructions","","","","","","","","","","","",""
"11959","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","76053","0.0-8.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","instructions","","","","","","","","","","","",""
"5375","","0","html-button-response","7","81430","0.0-9.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","","","","","","","","","","","","",""
"1981.5999999940395","stim/Timtam_double_coat.jpg,stim/Reeses.jpg","","cta-radio","8","83413","0.0-10.0-0.0-1.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","trial","","","stim/Timtam_double_coat.jpg","736,731,724,715,704,698,686,670,650,636,626,617,614,613,611,610,609,608,606,605,604,602,597,593,587,586,586,586,586,588,590,591,596,611,645,719,773,800,853,899,926,946,955,957,960,963,970,978,984,988,990,990,990,992,996,999,1000,1000,998,996,983,963,943,922,879,857,831,793,760,717,675,627,600,580,566,549,536,513,497,487,483,481,484,486,491,492","648,645,633,620,610,606,601,595,586,580,573,571,570,569,568,568,568,568,566,566,564,563,561,559,557,556,556,555,554,553,550,549,545,535,509,458,423,407,383,368,358,350,346,345,343,341,337,335,332,330,328,327,326,323,311,306,299,296,291,289,286,286,286,290,294,295,297,300,301,301,301,300,296,293,290,286,282,276,272,269,266,266,266,266,266,266","1680006924792,1680006924808,1680006924825,1680006924841,1680006924858,1680006924875,1680006924891,1680006924908,1680006924925,1680006924942,1680006924959,1680006924975,1680006924992,1680006925008,1680006925025,1680006925041,1680006925058,1680006925111,1680006925159,1680006925175,1680006925191,1680006925208,1680006925225,1680006925241,1680006925258,1680006925275,1680006925431,1680006925446,1680006925462,1680006925475,1680006925491,1680006925508,1680006925525,1680006925542,1680006925559,1680006925575,1680006925591,1680006925608,1680006925625,1680006925642,1680006925659,1680006925675,1680006925691,1680006925708,1680006925725,1680006925741,1680006925758,1680006925775,1680006925791,1680006925808,1680006925825,1680006925842,1680006925859,1680006925875,1680006925892,1680006925908,1680006925925,1680006925941,1680006925958,1680006925975,1680006925991,1680006926008,1680006926025,1680006926041,1680006926059,1680006926075,1680006926091,1680006926108,1680006926124,1680006926141,1680006926158,1680006926175,1680006926191,1680006926208,1680006926224,1680006926242,1680006926259,1680006926274,1680006926291,1680006926308,1680006926325,1680006926341,1680006926362,1680006926375,1680006926391,1680006926408","84102.79999999702","hidden","0","stim/Timtam_double_coat.jpg","stim/Reeses.jpg",""
"null","","","html-keyboard-response","9","83527","0.0-10.0-0.0-2.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","fixationMouse","","","","","","","","","","","","null"
"1360","","0","html-button-response","10","85393","0.0-10.0-0.0-3.0","Second_First","Yes","6413576c64e0788a8f2e058e","To decide between options","","yes","Right handed","Male","47","no further comments","","","","","","","","","","","","","",""
