"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"3825","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!<br><br>In this study you, will complete a decision making task.<br><br><b>Please complete this task using a computer mouse and not a trackpad.</b><br> <br>On the next page you will be presented with a general consent form before continuing on to the study.<br><br></p>","","html-button-response","0","3826","0.0-0.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","","","","","","","","","","","","",""
"6726","","","survey-multi-choice","1","10554","0.0-1.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"2005","","","survey-multi-choice","2","12561","0.0-3.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"3037","","","survey-text","3","15601","0.0-5.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","{""Q0"":""6413591cc45fb6378c93d0dc""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","18148","0.0-6.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","","","true","","","","","","","","","",""
"14020","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.<br><br>In this study we are interested in how people make various types of decisions. <br>During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. <br><br>For example:<br><br></div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/Reeses.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Timtam_double_coat.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","32169","0.0-7.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","instructions","","","","","","","","","","","",""
"10767","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<br><br><b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b><br><br>Before you begin the actual task, you will do a few practice decisions.<br><br><br>","0","html-button-response","6","42937","0.0-8.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","instructions","","","","","","","","","","","",""
"2352","<br><br><br><br>","0","html-button-response","7","45289","0.0-9.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","","","","","","","","","","","","",""
"1985.9000000357628","stim/Timtam_double_coat.jpg,stim/Reeses.jpg","","cta-radio","8","47276","0.0-10.0-0.0-1.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","trial","","","stim/Timtam_double_coat.jpg","975,975,980,991,1006,1020,1035,1043,1049,1051,1052,1052,1052,1043,1013,954,873,779,680,662,658,657,658,658,656,651,650,649","839,829,797,738,674,628,588,569,555,549,545,544,543,538,528,505,467,428,386,376,374,373,372,371,369,363,362,361","1680007095431,1680007095443,1680007095460,1680007095477,1680007095494,1680007095510,1680007095527,1680007095543,1680007095560,1680007095577,1680007095594,1680007095610,1680007095627,1680007095644,1680007095660,1680007095677,1680007095694,1680007095710,1680007095727,1680007095744,1680007095760,1680007095783,1680007095807,1680007095861,1680007095877,1680007095894,1680007095910,1680007095927","49079","shown","0","stim/Timtam_double_coat.jpg","stim/Reeses.jpg",""
"null","<font size=""+3"">Please start moving the cursor sooner, even if you are not yet fully certain of your decision.</font>","","html-keyboard-response","9","51385","0.0-10.0-0.0-2.0","Second_First","Yes","6413591cc45fb6378c93d0dc","To decide between options","","yes","Right handed","Female","39","","","fixationMouse","","","","","","","","","","","","null"
