"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"5513","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","5517","0.0-0.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","","","","","","","","","","","","",""
"6658","","","survey-multi-choice","1","12180","0.0-1.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"2928","","","survey-multi-choice","2","15112","0.0-3.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"9854","","","survey-text","3","24973","0.0-5.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","{""Q0"":""64135d9ba709298c67c45309""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","27823","0.0-6.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","","","true","","","","","","","","","",""
"18407","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/Reeses.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Timtam_double_coat.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","46234","0.0-7.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","instructions","","","","","","","","","","","",""
"7215","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","53451","0.0-8.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","instructions","","","","","","","","","","","",""
"3682","","0","html-button-response","7","57135","0.0-9.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","","","","","","","","","","","","",""
"3389","stim/Reeses.jpg,stim/Timtam_double_coat.jpg","","cta-radio","8","60528","0.0-10.0-0.0-1.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","trial","","","stim/Reeses.jpg","664,657,642,638,636,633,627,624,620,617,613,605,599,590,582,569,551,534,519,511,509,511,515,517,518,518,512,503,491,479,468,458,451,446,443,442,442,447,461,490,529,579,636,692,748,804,825,838,847,853,863,879,891,899,901,902,902,902,902,902,902,902,902,901,896,891,888,884,878,870,863,855,848,845,843,840,835,832,829,828,828,827,826,825,824,823,821,819,815,808,802,791,777,764,752,740,726,707,684,659,620,596,571,549,531,516,501,490,481,474,466,456,443,429,416,410,406,404,403,401,397,390,384,382,382,382,382,382,383,384,385,387,391,398,413,422,427,427,426,423,415,410,404,402","605,604,601,600,600,599,598,597,597,596,596,593,593,592,591,591,591,591,591,591,591,591,587,581,576,562,531,506,480,455,434,417,401,388,379,372,367,359,350,339,325,307,293,280,267,255,251,248,246,245,244,241,239,237,237,237,238,242,245,250,255,262,273,282,290,297,300,303,308,312,317,321,324,326,328,330,334,338,341,339,338,338,337,337,337,337,337,337,337,337,336,335,333,331,329,326,324,320,313,308,298,290,281,273,267,258,247,238,229,220,211,201,191,181,173,170,169,169,169,171,176,186,198,212,221,228,230,232,233,234,234,235,236,236,235,234,234,233,232,231,230,229,229,229","1680006909609,1680006909629,1680006909669,1680006909676,1680006909695,1680006909711,1680006909727,1680006909744,1680006909760,1680006909780,1680006909794,1680006909810,1680006909827,1680006909843,1680006909860,1680006909877,1680006909893,1680006909910,1680006909927,1680006909943,1680006909960,1680006910059,1680006910076,1680006910093,1680006910109,1680006910126,1680006910143,1680006910159,1680006910176,1680006910192,1680006910209,1680006910225,1680006910242,1680006910259,1680006910275,1680006910293,1680006910308,1680006910325,1680006910342,1680006910358,1680006910375,1680006910392,1680006910408,1680006910425,1680006910443,1680006910459,1680006910475,1680006910492,1680006910509,1680006910525,1680006910543,1680006910559,1680006910575,1680006910592,1680006910608,1680006910625,1680006910763,1680006910779,1680006910792,1680006910808,1680006910825,1680006910841,1680006910859,1680006910875,1680006910892,1680006910908,1680006910924,1680006910941,1680006910959,1680006910975,1680006910991,1680006911008,1680006911024,1680006911041,1680006911057,1680006911074,1680006911091,1680006911107,1680006911124,1680006911291,1680006911308,1680006911324,1680006911341,1680006911357,1680006911421,1680006911469,1680006911508,1680006911524,1680006911541,1680006911557,1680006911574,1680006911591,1680006911608,1680006911623,1680006911641,1680006911657,1680006911674,1680006911691,1680006911707,1680006911724,1680006911741,1680006911758,1680006911774,1680006911790,1680006911807,1680006911825,1680006911841,1680006911858,1680006911874,1680006911890,1680006911907,1680006911923,1680006911940,1680006911957,1680006911973,1680006911990,1680006912007,1680006912023,1680006912073,1680006912093,1680006912106,1680006912124,1680006912140,1680006912158,1680006912174,1680006912190,1680006912206,1680006912224,1680006912240,1680006912302,1680006912321,1680006912340,1680006912356,1680006912373,1680006912389,1680006912406,1680006912423,1680006912509,1680006912523,1680006912539,1680006912557,1680006912574,1680006912590,1680006912606","59584","shown","0","stim/Reeses.jpg","stim/Timtam_double_coat.jpg",""
"null","","","html-keyboard-response","9","60630","0.0-10.0-0.0-2.0","Second_First","Yes","64135d9ba709298c67c45309","To decide between options","","yes","Right handed","Male","18","","","fixationMouse","","","","","","","","","","","","null"
