"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"4765","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","4767","0.0-0.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","","","","","","","","","","","","",""
"30086","","","survey-multi-choice","1","34855","0.0-1.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"2962","","","survey-multi-choice","2","37818","0.0-3.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"2929","","","survey-text","3","40750","0.0-5.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","{""Q0"":""64135f17af87bdc0dfa9abf6""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","46758","0.0-6.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","","","true","","","","","","","","","",""
"10654","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/MnM2.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Bounty.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","57414","0.0-7.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","instructions","","","","","","","","","","","",""
"5235","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","62650","0.0-8.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","instructions","","","","","","","","","","","",""
"1459","","0","html-button-response","7","64110","0.0-9.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","","","","","","","","","","","","",""
"1144.5","stim/MnM2.jpg,stim/Bounty.jpg","","cta-radio","8","65256","0.0-10.0-0.0-1.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","trial","","","stim/MnM2.jpg","698,696,690,679,666,648,634,623,616,614,613,612,611,611,610,610,609,606,603,601,597,591,585,560,544,530,517,510,508,505,505,505,505,505,505,508,513,521,533,541,546,548,549,550,551,551,551,536,514,489,466,438,415,405,399,399,399","611,610,609,607,604,600,598,595,593,592,591,590,590,589,589,587,586,584,582,580,575,570,564,534,510,484,455,438,429,425,423,422,424,425,433,444,453,462,473,478,479,479,479,479,478,476,468,441,406,359,315,265,220,196,180,176,175","1680007065126,1680007065142,1680007065159,1680007065176,1680007065192,1680007065209,1680007065226,1680007065242,1680007065259,1680007065276,1680007065301,1680007065309,1680007065325,1680007065342,1680007065359,1680007065375,1680007065392,1680007065409,1680007065425,1680007065442,1680007065459,1680007065476,1680007065492,1680007065508,1680007065524,1680007065541,1680007065558,1680007065575,1680007065592,1680007065608,1680007065625,1680007065641,1680007065733,1680007065741,1680007065758,1680007065774,1680007065791,1680007065808,1680007065824,1680007065841,1680007065858,1680007065875,1680007065891,1680007065908,1680007065924,1680007065940,1680007065957,1680007065974,1680007065991,1680007066008,1680007066024,1680007066041,1680007066057,1680007066074,1680007066091,1680007066107,1680007066124","69583.80000000028","hidden","0","stim/MnM2.jpg","stim/Bounty.jpg",""
"null","","","html-keyboard-response","9","65358","0.0-10.0-0.0-2.0","First_First","Yes","64135f17af87bdc0dfa9abf6","To decide between options","","yes","Left handed","Male","22","","","fixationMouse","","","","","","","","","","","","null"
