"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"4465","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!<br><br>In this study you, will complete a decision making task.<br><br><b>Please complete this task using a computer mouse and not a trackpad.</b><br> <br>On the next page you will be presented with a general consent form before continuing on to the study.<br><br></p>","","html-button-response","0","4466","0.0-0.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"2949","","","survey-multi-choice","1","7417","0.0-1.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"3273","","","survey-multi-choice","2","10692","0.0-3.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"2455","","","survey-text","3","13150","0.0-5.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","{""Q0"":""64137d203dcddad061ff78dc""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","17636","0.0-6.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","true","","","","","","","","","",""
"15914","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.<br><br>In this study we are interested in how people make various types of decisions. <br>During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. <br><br>For example:<br><br></div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/MnM2.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Bounty.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","33553","0.0-7.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","instructions","","","","","","","","","","","",""
"7847","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<br><br><b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b><br><br>Before you begin the actual task, you will do a few practice decisions.<br><br><br>","0","html-button-response","6","41401","0.0-8.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","instructions","","","","","","","","","","","",""
"1836","<br><br><br><br>","0","html-button-response","7","43238","0.0-9.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"1849.6999999284744","stim/MnM2.jpg,stim/Bounty.jpg","","cta-radio","8","45089","0.0-10.0-0.0-1.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","trial","","","stim/Bounty.jpg","969,974,983,986,969,924,849,764,686,626,595,586,584,584,589,599,616,635,656,673,689,711,741,774,806,826,833,825,797,760,716,677,648,629,625,636,667,719,787,868,948,1013,1066,1106,1130,1145,1153,1159,1163,1166,1168,1171,1172,1173,1173,1174,1175,1180,1189,1202,1214,1227,1237,1245,1251,1253,1254","847,832,792,723,627,528,428,346,288,253,239,235,236,246,271,314,359,394,417,427,431,431,424,411,394,373,351,325,297,275,262,261,272,293,320,348,376,399,415,424,427,427,423,417,410,403,396,389,382,376,372,370,368,368,367,367,367,366,360,350,339,330,322,317,313,311,310","1680007077531,1680007077548,1680007077564,1680007077581,1680007077597,1680007077614,1680007077630,1680007077647,1680007077664,1680007077680,1680007077697,1680007077714,1680007077731,1680007077747,1680007077764,1680007077781,1680007077797,1680007077814,1680007077831,1680007077847,1680007077864,1680007077880,1680007077897,1680007077914,1680007077930,1680007077947,1680007077964,1680007077981,1680007077997,1680007078014,1680007078030,1680007078047,1680007078064,1680007078080,1680007078097,1680007078114,1680007078130,1680007078147,1680007078164,1680007078181,1680007078197,1680007078214,1680007078231,1680007078247,1680007078264,1680007078280,1680007078297,1680007078314,1680007078330,1680007078347,1680007078364,1680007078380,1680007078397,1680007078414,1680007078431,1680007078589,1680007078598,1680007078614,1680007078630,1680007078647,1680007078664,1680007078680,1680007078697,1680007078714,1680007078731,1680007078747,1680007078764","46935.699999928474","shown","0","stim/MnM2.jpg","stim/Bounty.jpg",""
"null","","","html-keyboard-response","9","45204","0.0-10.0-0.0-2.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","fixationMouse","","","","","","","","","","","","null"
"1299","<br><br><br><br>","0","html-button-response","10","47012","0.0-10.0-0.0-3.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"2604.899999976158","stim/Reeses.jpg,stim/Timtam_double_coat.jpg","","cta-radio","11","49618","0.0-10.1-0.1-1.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","trial","","","stim/Timtam_double_coat.jpg","976,976,977,980,986,993,1002,1010,1019,1028,1036,1045,1053,1060,1064,1067,1069,1070,1069,1068,1066,1063,1060,1057,1055,1055,1055,1059,1065,1072,1076,1079,1079,1078,1073,1069,1066,1066,1070,1082,1101,1125,1155,1185,1208,1224,1234,1238,1239","846,845,842,835,819,793,758,719,674,628,592,561,540,527,519,514,511,510,510,509,508,505,500,491,480,468,453,440,427,416,406,399,394,388,381,372,364,359,354,350,347,344,343,341,340,339,338,337,337","1680007082508,1680007082519,1680007082531,1680007082548,1680007082564,1680007082581,1680007082601,1680007082614,1680007082631,1680007082647,1680007082664,1680007082681,1680007082697,1680007082714,1680007082731,1680007082747,1680007082764,1680007082781,1680007082959,1680007082968,1680007082982,1680007082998,1680007083014,1680007083031,1680007083048,1680007083064,1680007083081,1680007083098,1680007083114,1680007083131,1680007083147,1680007083164,1680007083181,1680007083197,1680007083214,1680007083231,1680007083247,1680007083264,1680007083281,1680007083297,1680007083314,1680007083331,1680007083347,1680007083364,1680007083381,1680007083397,1680007083414,1680007083431,1680007083447","51912.199999928474","shown","1","stim/Reeses.jpg","stim/Timtam_double_coat.jpg",""
"null","<font size=""+3"">Please start moving the cursor sooner, even if you are not yet fully certain of your decision.</font>","","html-keyboard-response","12","53730","0.0-10.1-0.1-2.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","fixationMouse","","","","","","","","","","","","null"
"1162","<br><br><br><br>","0","html-button-response","13","55394","0.0-10.1-0.1-3.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"1131","You are now ready to begin the task.<br><br><br><br>","0","html-button-response","14","56526","0.0-11.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","[object Object]","","","","","","","","","","","",""
"1149","<br><br><br><br>","0","html-button-response","15","57676","0.0-12.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"1336.8000000715256","stim/Mars.bmp,stim/Twirl.jpg","","cta-radio","16","59013","0.0-13.0-0.0-1.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","trial","","","stim/Twirl.jpg","960,960,961,963,967,973,977,977,968,950,926,905,890,881,878,877,879,889,903,920,938,956,971,983,992,997,999,1000,1001,1001,1001,1001,1001,1001,1003,1009,1026,1047,1077,1108,1137,1163,1180,1189,1193,1195,1195,1196,1197,1197","846,845,838,826,804,772,731,684,639,596,562,542,534,533,540,556,579,602,623,634,637,638,636,631,626,620,615,610,606,603,601,600,599,598,594,581,549,511,468,427,393,364,344,334,327,324,322,322,322,321","1680007091725,1680007091731,1680007091748,1680007091764,1680007091781,1680007091798,1680007091815,1680007091831,1680007091848,1680007091865,1680007091881,1680007091898,1680007091915,1680007091931,1680007091948,1680007091965,1680007091981,1680007091998,1680007092015,1680007092031,1680007092048,1680007092065,1680007092081,1680007092098,1680007092115,1680007092131,1680007092148,1680007092165,1680007092181,1680007092198,1680007092215,1680007092231,1680007092248,1680007092535,1680007092548,1680007092565,1680007092581,1680007092598,1680007092615,1680007092631,1680007092648,1680007092665,1680007092681,1680007092698,1680007092715,1680007092731,1680007092748,1680007092798,1680007092848,1680007092866","61129.10000002384","shown","0","stim/Mars.bmp","stim/Twirl.jpg",""
"null","","","html-keyboard-response","17","59127","0.0-13.0-0.0-2.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","fixationMouse","","","","","","","","","","","","null"
"757","<br><br><br><br>","0","html-button-response","18","60395","0.0-13.0-0.0-3.0","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
"2664","stim/Flake.jpg,stim/Reeses_white.jpg","","cta-radio","19","63060","0.0-13.1-0.1-1.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","trial","","","stim/Flake.jpg","942,943,947,952,959,966,969,969,963,952,942,934,928,925,923,923,922,923,924,934,951,979,1013,1050,1083,1107,1120,1125,1122,1110,1080,1033,965,889,829,784,759,749,749,759,773,789,803,815,824,830,833,833,834,835,836,837,841,845,850,853,854,854,854,851,844,827,802,769,740,713,694,684,681","840,834,815,788,754,711,665,620,583,552,530,517,509,505,503,502,502,501,500,497,488,473,454,434,414,400,391,385,379,372,360,345,326,312,307,310,323,340,365,389,408,422,430,435,438,439,440,441,441,441,441,441,439,438,436,435,435,434,433,431,425,413,396,373,353,336,323,318,316","1680007094440,1680007094448,1680007094465,1680007094481,1680007094498,1680007094515,1680007094531,1680007094548,1680007094565,1680007094581,1680007094598,1680007094615,1680007094631,1680007094648,1680007094665,1680007094681,1680007094698,1680007095139,1680007095148,1680007095165,1680007095181,1680007095198,1680007095215,1680007095231,1680007095248,1680007095265,1680007095281,1680007095298,1680007095315,1680007095331,1680007095348,1680007095365,1680007095381,1680007095398,1680007095415,1680007095431,1680007095448,1680007095465,1680007095481,1680007095498,1680007095515,1680007095531,1680007095548,1680007095565,1680007095582,1680007095598,1680007095615,1680007095632,1680007095723,1680007096213,1680007096224,1680007096233,1680007096248,1680007096265,1680007096281,1680007096298,1680007096315,1680007096626,1680007096635,1680007096649,1680007096665,1680007096682,1680007096698,1680007096715,1680007096732,1680007096748,1680007096765,1680007096782,1680007096798","63844.299999952316","shown","1","stim/Flake.jpg","stim/Reeses_white.jpg",""
"null","","","html-keyboard-response","20","63176","0.0-13.1-0.1-2.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","fixationMouse","","","","","","","","","","","","null"
"1077","<br><br><br><br>","0","html-button-response","21","64755","0.0-13.1-0.1-3.1","First_First","Yes","64137d203dcddad061ff78dc","To decide between options","","yes","Right handed","Male","35","","","","","","","","","","","","","","",""
