"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"4243","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","4246","0.0-0.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","","","","","","","","","","",""
"1847","","","survey-multi-choice","1","6095","0.0-1.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"2213","","","survey-multi-choice","2","8311","0.0-3.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"5458","","","survey-text","3","13771","0.0-5.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","{""Q0"":""64138c001a13c03e10b69d3b""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","15831","0.0-6.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","true","","","","","","","","","",""
"15433","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/MnM2.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Bounty.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","31265","0.0-7.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","instructions","","","","","","","","","","","",""
"1604","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","32871","0.0-8.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","instructions","","","","","","","","","","","",""
"1387","","0","html-button-response","7","34258","0.0-9.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","","","","","","","","","","",""
"1632","stim/MnM2.jpg,stim/Bounty.jpg","","cta-radio","8","35892","0.0-10.0-0.0-1.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","trial","","","stim/MnM2.jpg","947,947,947,947,946,945,944,942,940,937,933,930,923,917,909,900,891,883,873,867,860,856,852,849,846,845,842,839,836,833,828,823,816,809,801,792,784,776,769,760,752,743,734,727,722,714,707,701,695,689,685,680,677,674,672,671,671,671,671,671,673,674,677,679,682,685,690,694,699,704,712,722,733,745,752,766,776,786,793,799,805,809,813,817,821,825,828,830,832,832,832,830,827,822,814,803,790,775,757,742,725,712,700,691,684,681,679","837,836,835,834,831,828,825,821,816,810,805,798,789,779,768,757,745,734,722,714,706,700,695,690,684,680,675,668,662,654,643,634,622,611,597,583,570,558,546,532,518,504,488,477,467,455,444,435,425,418,410,403,396,391,385,380,374,369,364,361,356,353,349,346,342,339,334,330,326,322,316,310,304,299,296,291,288,285,284,283,282,282,282,282,282,282,282,282,282,283,284,286,288,292,296,300,304,308,313,315,318,319,321,322,323,324,324","1680007044160,1680007044183,1680007044191,1680007044199,1680007044208,1680007044216,1680007044224,1680007044233,1680007044241,1680007044249,1680007044258,1680007044266,1680007044274,1680007044283,1680007044291,1680007044299,1680007044308,1680007044316,1680007044324,1680007044333,1680007044341,1680007044349,1680007044358,1680007044366,1680007044374,1680007044383,1680007044391,1680007044399,1680007044408,1680007044416,1680007044424,1680007044433,1680007044441,1680007044449,1680007044458,1680007044466,1680007044474,1680007044483,1680007044491,1680007044499,1680007044508,1680007044516,1680007044524,1680007044533,1680007044541,1680007044549,1680007044558,1680007044566,1680007044574,1680007044583,1680007044591,1680007044599,1680007044608,1680007044616,1680007044624,1680007044633,1680007044641,1680007044649,1680007044658,1680007044666,1680007044674,1680007044683,1680007044691,1680007044699,1680007044708,1680007044716,1680007044724,1680007044733,1680007044741,1680007044749,1680007044758,1680007044766,1680007044774,1680007044783,1680007044791,1680007044799,1680007044808,1680007044816,1680007044824,1680007044833,1680007044841,1680007044849,1680007044858,1680007044866,1680007044874,1680007044883,1680007044891,1680007044900,1680007044908,1680007044916,1680007044950,1680007044958,1680007044966,1680007044974,1680007044983,1680007044991,1680007044999,1680007045008,1680007045016,1680007045024,1680007045033,1680007045041,1680007045049,1680007045058,1680007045066,1680007045074,1680007045083","36207.199999928474","hidden","0","stim/MnM2.jpg","stim/Bounty.jpg",""
"null","","","html-keyboard-response","9","36007","0.0-10.0-0.0-2.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","fixationMouse","","","","","","","","","","","","null"
"1463","","0","html-button-response","10","37972","0.0-10.0-0.0-3.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","","","","","","","","","","",""
"1419.1999999284744","stim/Reeses.jpg,stim/Timtam_double_coat.jpg","","cta-radio","11","39393","0.0-10.1-0.1-1.1","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","trial","","","stim/Reeses.jpg","944,943,943,942,942,941,941,940,940,939,938,937,937,936,936,935,934,934,934,933,933,933,934,937,939,943,949,953,960,969,981,993,1005,1020,1035,1049,1068,1077,1096,1115,1133,1147,1163,1172,1179,1185,1188,1189,1190,1190,1190,1189,1186,1182,1178,1170,1160,1151,1136,1120,1096,1078,1052,1026,991,963,929,896,849,811,781,743,696,664,637,612,593,581,571,566,565,567,571,575,582,590,600,610,623,639,651,669,685,697,706,713,717,719,720","837,836,835,835,834,833,832,830,829,828,826,824,822,820,817,813,810,805,801,797,791,784,775,764,757,745,732,724,713,700,684,671,657,641,628,614,598,591,576,561,547,534,519,509,501,493,485,481,477,474,469,466,462,458,454,448,442,437,432,426,419,415,408,403,396,391,385,380,374,369,366,362,359,356,354,353,352,352,351,351,351,351,350,349,349,348,347,346,345,345,343,342,340,339,338,337,337,336,336","1680007047758,1680007047766,1680007047777,1680007047783,1680007047791,1680007047799,1680007047808,1680007047816,1680007047824,1680007047833,1680007047841,1680007047849,1680007047858,1680007047866,1680007047874,1680007047883,1680007047891,1680007047899,1680007047908,1680007047916,1680007047924,1680007047933,1680007047941,1680007047949,1680007047958,1680007047966,1680007047974,1680007047983,1680007047991,1680007047999,1680007048008,1680007048016,1680007048024,1680007048033,1680007048041,1680007048049,1680007048058,1680007048066,1680007048074,1680007048083,1680007048091,1680007048099,1680007048108,1680007048116,1680007048124,1680007048133,1680007048141,1680007048149,1680007048158,1680007048166,1680007048174,1680007048183,1680007048191,1680007048199,1680007048208,1680007048216,1680007048224,1680007048233,1680007048241,1680007048249,1680007048258,1680007048266,1680007048274,1680007048283,1680007048291,1680007048299,1680007048308,1680007048316,1680007048324,1680007048333,1680007048341,1680007048349,1680007048358,1680007048366,1680007048374,1680007048383,1680007048391,1680007048399,1680007048408,1680007048416,1680007048424,1680007048617,1680007048624,1680007048633,1680007048641,1680007048649,1680007048658,1680007048666,1680007048674,1680007048683,1680007048691,1680007048699,1680007048708,1680007048716,1680007048725,1680007048733,1680007048741,1680007048749,1680007048758","39804.799999952316","hidden","1","stim/Reeses.jpg","stim/Timtam_double_coat.jpg",""
"null","","","html-keyboard-response","12","39496","0.0-10.1-0.1-2.1","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","fixationMouse","","","","","","","","","","","","null"
"543","","0","html-button-response","13","40541","0.0-10.1-0.1-3.1","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","","","","","","","","","","",""
"1216","You are now ready to begin the task.","0","html-button-response","14","41758","0.0-11.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","[object Object]","","","","","","","","","","","",""
"885","","0","html-button-response","15","42644","0.0-12.0","First_First","Yes","64138c001a13c03e10b69d3b","To decide between options","","yes","Left handed","Male","20","No comment","","","","","","","","","","","","","",""
