"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"5881","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","5882","0.0-0.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"5520","","","survey-multi-choice","1","11404","0.0-1.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"3289","","","survey-multi-choice","2","14695","0.0-3.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"2683","","","survey-text","3","17379","0.0-5.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","{""Q0"":""641435742019e9323fa38a2a""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","20621","0.0-6.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","true","","","","","","","","","",""
"16257","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/MnM2.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Bounty.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","36879","0.0-7.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","instructions","","","","","","","","","","","",""
"5367","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","42247","0.0-8.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","instructions","","","","","","","","","","","",""
"6024","","0","html-button-response","7","48272","0.0-9.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1395","stim/MnM2.jpg,stim/Bounty.jpg","","cta-radio","8","49669","0.0-10.0-0.0-1.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/Bounty.jpg","959,959,960,957,944,924,861,839,764,726,706,695,694,705,719,733,731,711,711,711,730,740,751,773,798,812,821,827,843,872,931,992,1077,1143,1217,1263,1298,1304,1302,1302,1300,1295,1290,1286,1281","840,835,825,801,753,700,594,565,484,443,418,392,377,360,347,337,339,368,369,372,363,355,349,348,341,335,329,325,319,317,315,316,328,340,351,356,360,361,360,358,354,343,333,325,319","1680005565272,1680005565287,1680005565304,1680005565320,1680005565337,1680005565354,1680005565371,1680005565387,1680005565404,1680005565421,1680005565437,1680005565455,1680005565471,1680005565487,1680005565504,1680005565521,1680005565537,1680005565555,1680005565687,1680005565704,1680005565721,1680005565739,1680005565754,1680005565770,1680005565788,1680005565804,1680005565821,1680005565838,1680005565855,1680005565871,1680005565888,1680005565905,1680005565921,1680005565938,1680005565955,1680005565971,1680005565988,1680005566004,1680005566120,1680005566122,1680005566138,1680005566155,1680005566172,1680005566187,1680005566206","53195","hidden","0","stim/MnM2.jpg","stim/Bounty.jpg",""
"null","","","html-keyboard-response","9","49781","0.0-10.0-0.0-2.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","fixationMouse","","","","","","","","","","","","null"
"3085","","0","html-button-response","10","53367","0.0-10.0-0.0-3.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1796","stim/Reeses.jpg,stim/Timtam_double_coat.jpg","","cta-radio","11","55164","0.0-10.1-0.1-1.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/Reeses.jpg","958,973,997,1000,998,994,980,967,949,933,908,887,864,854,849,850,851,853,856,857,861,866,867,867,873,877,891,918,943,982,990,1012,1022,1028,1037,1042,1045,1047,1050,1053,1063,1073,1091,1107,1126,1137,1147,1151,1152,1153,1149,1146,1128,1082,1043,986,939,886,855,830,812,804,800,796,788,775,764,748,736,728,726","834,800,737,697,653,617,555,525,498,481,463,451,444,441,439,439,440,441,442,443,445,451,451,452,454,454,454,454,452,451,451,451,451,451,450,450,449,448,447,445,443,439,433,426,418,413,410,410,409,408,406,403,396,384,377,367,362,356,355,350,345,339,335,332,327,323,318,314,312,311,310","1680005570326,1680005570342,1680005570359,1680005570375,1680005570392,1680005570409,1680005570426,1680005570441,1680005570459,1680005570475,1680005570492,1680005570510,1680005570526,1680005570542,1680005570559,1680005570618,1680005570633,1680005570645,1680005570661,1680005570676,1680005570692,1680005570709,1680005570726,1680005570814,1680005570830,1680005570843,1680005570860,1680005570877,1680005570892,1680005570910,1680005570926,1680005570942,1680005570959,1680005570976,1680005570993,1680005571010,1680005571026,1680005571043,1680005571060,1680005571077,1680005571092,1680005571109,1680005571126,1680005571143,1680005571159,1680005571176,1680005571194,1680005571210,1680005571226,1680005571242,1680005571296,1680005571309,1680005571327,1680005571344,1680005571360,1680005571377,1680005571393,1680005571409,1680005571426,1680005571443,1680005571460,1680005571476,1680005571494,1680005571510,1680005571526,1680005571543,1680005571559,1680005571576,1680005571594,1680005571610,1680005571627","58250","hidden","1","stim/Reeses.jpg","stim/Timtam_double_coat.jpg",""
"null","","","html-keyboard-response","12","55271","0.0-10.1-0.1-2.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","fixationMouse","","","","","","","","","","","","null"
"1118","","0","html-button-response","13","56891","0.0-10.1-0.1-3.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1947","You are now ready to begin the task.","0","html-button-response","14","58839","0.0-11.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","[object Object]","","","","","","","","","","","",""
"1865","","0","html-button-response","15","60705","0.0-12.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1706","stim/Reeses_white.jpg,stim/Toblerone.jpg","","cta-radio","16","62413","0.0-13.0-0.0-1.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/Toblerone.jpg","957,957,955,943,929,906,866,854,815,801,789,782,769,761,744,730,714,707,707,707,708,709,715,725,744,772,791,817,837,857,868,882,893,912,931,960,983,1003,1011,1013,1013,1014,1015,1020,1027,1035,1045,1059,1071,1083,1089,1092,1099,1112,1128,1147,1167,1183,1193,1202,1208,1212,1213,1213,1213,1213","843,842,820,790,762,720,656,638,580,558,543,535,525,519,507,493,476,465,456,452,448,448,448,452,461,478,489,504,511,514,516,516,516,514,511,501,491,480,476,473,472,472,469,463,454,444,436,427,419,413,410,410,410,409,407,401,393,385,377,368,360,355,352,351,350,349","1680005577689,1680005577700,1680005577717,1680005577734,1680005577749,1680005577767,1680005577784,1680005577799,1680005577816,1680005577833,1680005577849,1680005577866,1680005577884,1680005577900,1680005577917,1680005577934,1680005577950,1680005577967,1680005577984,1680005578000,1680005578017,1680005578033,1680005578050,1680005578067,1680005578084,1680005578101,1680005578117,1680005578133,1680005578150,1680005578166,1680005578184,1680005578200,1680005578217,1680005578233,1680005578250,1680005578267,1680005578283,1680005578300,1680005578317,1680005578333,1680005578351,1680005578367,1680005578383,1680005578401,1680005578417,1680005578434,1680005578450,1680005578467,1680005578485,1680005578501,1680005578517,1680005578578,1680005578583,1680005578600,1680005578617,1680005578634,1680005578650,1680005578667,1680005578684,1680005578701,1680005578718,1680005578734,1680005578751,1680005578834,1680005578930,1680005578945","65613","hidden","0","stim/Reeses_white.jpg","stim/Toblerone.jpg",""
"null","","","html-keyboard-response","17","62522","0.0-13.0-0.0-2.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","fixationMouse","","","","","","","","","","","","null"
"822","","0","html-button-response","18","63845","0.0-13.0-0.0-3.0","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1340","stim/Loacker_tortina.jpg,stim/Toblerone.jpg","","cta-radio","19","65186","0.0-13.1-0.1-1.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/Toblerone.jpg","964,964,964,959,955,952,950,949,946,942,937,933,927,919,909,901,894,889,884,881,879,878,880,883,887,888,893,900,916,935,952,976,992,1005,1011,1015,1019,1025,1032,1046,1057,1068,1080,1091,1103,1118,1136,1169,1192,1205,1216,1220,1222","850,848,847,840,827,810,780,752,721,702,683,668,650,633,613,599,583,575,563,555,543,535,523,519,515,513,509,506,495,482,470,456,446,440,438,437,437,435,431,427,421,415,407,400,392,383,372,355,345,337,331,327,326","1680005580882,1680005580899,1680005580903,1680005580919,1680005580937,1680005580953,1680005580969,1680005580986,1680005581003,1680005581020,1680005581037,1680005581053,1680005581070,1680005581086,1680005581103,1680005581119,1680005581137,1680005581153,1680005581170,1680005581186,1680005581203,1680005581220,1680005581236,1680005581253,1680005581269,1680005581287,1680005581304,1680005581320,1680005581337,1680005581353,1680005581370,1680005581387,1680005581403,1680005581420,1680005581437,1680005581453,1680005581470,1680005581487,1680005581504,1680005581521,1680005581536,1680005581553,1680005581570,1680005581588,1680005581603,1680005581620,1680005581637,1680005581654,1680005581670,1680005581687,1680005581704,1680005581720,1680005581737","68805","hidden","1","stim/Loacker_tortina.jpg","stim/Toblerone.jpg",""
"null","","","html-keyboard-response","20","65302","0.0-13.1-0.1-2.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","fixationMouse","","","","","","","","","","","","null"
"559","","0","html-button-response","21","66362","0.0-13.1-0.1-3.1","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1433","stim/Kitkat.jpg,stim/Loacker_tortina.jpg","","cta-radio","22","67797","0.0-13.2-0.2-1.2","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/Kitkat.jpg","978,984,972,951,947,946,954,961,962,965,972,978,988,990,990,986,984,984,984,986,991,996,999,999,999,998,994,986,978,967,954,942,931,921,913,896,882,866,852,841,833,824,806,792,786,761,746,737,730,726,721,716,712,711,711","835,812,802,802,802,802,799,797,780,754,714,672,624,592,563,546,545,543,539,531,517,503,488,480,473,470,468,465,462,458,455,452,450,447,445,440,438,431,425,418,413,407,396,388,386,375,365,359,353,348,343,339,337,336,335","1680005583305,1680005583322,1680005583339,1680005583356,1680005583464,1680005583472,1680005583488,1680005583506,1680005583522,1680005583538,1680005583556,1680005583572,1680005583588,1680005583605,1680005583622,1680005583639,1680005583656,1680005583736,1680005583739,1680005583756,1680005583772,1680005583789,1680005583805,1680005583822,1680005583839,1680005583855,1680005583872,1680005583890,1680005583906,1680005583923,1680005583939,1680005583956,1680005583972,1680005583989,1680005584006,1680005584023,1680005584039,1680005584056,1680005584074,1680005584089,1680005584106,1680005584122,1680005584139,1680005584155,1680005584172,1680005584189,1680005584206,1680005584223,1680005584239,1680005584255,1680005584274,1680005584289,1680005584307,1680005584324,1680005584345","71228","hidden","2","stim/Kitkat.jpg","stim/Loacker_tortina.jpg",""
"null","","","html-keyboard-response","23","67912","0.0-13.2-0.2-2.2","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","fixationMouse","","","","","","","","","","","","null"
"729","","0","html-button-response","24","69141","0.0-13.2-0.2-3.2","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","","","","","","","","","","","","",""
"1313","stim/KinderBueno.jpg,stim/Mars.bmp","","cta-radio","25","70456","0.0-13.3-0.3-1.3","First_First","Yes","641435742019e9323fa38a2a","To decide between options","","Yes","Right handed","Male","32","","","trial","","","stim/KinderBueno.jpg","966,966,964,962,960,955,952,948,942,932,924,913,904,894,886,876,864,856,850,847,844,840,834,828,822,813,805,794,786,776,769,761,757,752,747,743,739,734,729,722,722,716,713,711,710,709","838,837,827,800,770,737,720,704,690,673,659,640,627,611,598,583,566,556,548,540,533,527,515,505,498,488,480,470,462,452,445,437,432,425,420,410,402,392,384,370,368,358,355,352,350,350","1680005586220,1680005586225,1680005586242,1680005586258,1680005586275,1680005586291,1680005586309,1680005586325,1680005586341,1680005586358,1680005586374,1680005586392,1680005586408,1680005586424,1680005586441,1680005586458,1680005586476,1680005586492,1680005586509,1680005586525,1680005586542,1680005586559,1680005586575,1680005586592,1680005586608,1680005586625,1680005586641,1680005586658,1680005586675,1680005586692,1680005586709,1680005586725,1680005586742,1680005586758,1680005586777,1680005586791,1680005586810,1680005586825,1680005586842,1680005586860,1680005586875,1680005586891,1680005586909,1680005586926,1680005586942,1680005587119","74143","hidden","3","stim/KinderBueno.jpg","stim/Mars.bmp",""
