"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"7239","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!<br><br>In this study you, will complete a decision making task.<br><br><b>Please complete this task using a computer mouse and not a trackpad.</b><br> <br>On the next page you will be presented with a general consent form before continuing on to the study.<br><br></p>","","html-button-response","0","7242","0.0-0.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","","","","","","","","","","","","",""
"3016","","","survey-multi-choice","1","10262","0.0-1.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"6433","","","survey-multi-choice","2","16698","0.0-3.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"63117","","","survey-text","3","79823","0.0-5.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","{""Q0"":""64157f363d8858416cb7ad77""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","","","","","","","","","","",""
"","","","fullscreen","4","82825","0.0-6.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","","","true","","","","","","","","","",""
"11497","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.<br><br>In this study we are interested in how people make various types of decisions. <br>During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. <br><br>For example:<br><br></div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/Reeses.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Timtam_double_coat.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","94327","0.0-7.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","instructions","","","","","","","","","","","",""
"16080","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<br><br><b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b><br><br>Before you begin the actual task, you will do a few practice decisions.<br><br><br>","0","html-button-response","6","110409","0.0-8.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","instructions","","","","","","","","","","","",""
"4755","<br><br><br><br>","0","html-button-response","7","115166","0.0-9.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","","","","","","","","","","","","",""
"1316.0999999046326","stim/Timtam_double_coat.jpg,stim/Reeses.jpg","","cta-radio","8","116488","0.0-10.0-0.0-1.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","trial","","","stim/Timtam_double_coat.jpg","772,773,800,814,836,858,878,892,908,912,916,920,920,921,922,922,924,925,929,931,934,937,939,940,942,942,944,943,936,905,848,805,714,670,642,609,589,578,566,552,548,544,541,538,533,530,528,527,525,524,523,522,521,521","672,647,537,491,439,388,352,322,299,291,285,280,279,279,278,277,276,274,272,270,266,264,261,259,258,257,256,256,257,266,272,272,275,275,276,276,276,276,276,275,275,275,275,275,274,274,274,274,274,274,274,274,273,272","1680006970210,1680006970221,1680006970238,1680006970255,1680006970271,1680006970288,1680006970305,1680006970321,1680006970338,1680006970355,1680006970371,1680006970388,1680006970405,1680006970421,1680006970438,1680006970454,1680006970471,1680006970488,1680006970505,1680006970521,1680006970538,1680006970555,1680006970571,1680006970588,1680006970604,1680006970621,1680006970638,1680006970688,1680006970705,1680006970721,1680006970738,1680006970755,1680006970771,1680006970788,1680006970805,1680006970821,1680006970838,1680006970855,1680006970871,1680006970888,1680006970904,1680006970921,1680006970938,1680006970954,1680006970971,1680006970988,1680006971004,1680006971021,1680006971038,1680006971054,1680006971071,1680006971088,1680006971104,1680006971121","117726.5","hidden","0","stim/Timtam_double_coat.jpg","stim/Reeses.jpg",""
"null","","","html-keyboard-response","9","116607","0.0-10.0-0.0-2.0","Second_First","Yes","64157f363d8858416cb7ad77","To decide between options","","yes","Right handed","Male","33","makes me want some chocolate ","","fixationMouse","","","","","","","","","","","","null"
