"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","mouseIndication","ProlificID","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Gender","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press"
"66674","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you, will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","66701","0.0-0.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"5233","","","survey-multi-choice","1","71942","0.0-1.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","{""Q0"":""Yes""}","consent","","","","","","","","","","","",""
"5690","","","survey-multi-choice","2","77638","0.0-3.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","",""
"11018","","","survey-text","3","88662","0.0-5.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","{""Q0"":""6417413921c539fd7d59e6e6""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0","","","","","","","","","","",""
"","","","fullscreen","4","92677","0.0-6.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","true","","","","","","","","","",""
"16469","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two images of snacks. In each trial we will ask you to choose which of the two snacks you prefer, using your mouse cursor. Note that there are no right or wrong answers, so please decide according to your preferences. For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/MnM2.jpg"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/Bounty.jpg""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","109150","0.0-7.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","instructions","","","","","","","","","","","",""
"9260","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","118414","0.0-8.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","instructions","","","","","","","","","","","",""
"1628","","0","html-button-response","7","120044","0.0-9.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"1995","stim/MnM2.jpg,stim/Bounty.jpg","","cta-radio","8","122045","0.0-10.0-0.0-1.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","trial","","","stim/MnM2.jpg","666,685,728,773,814,847,885,909,927,928,928,923,902,865,805,724,600,559,449,397,367,344,329,319,315,313,311,308,306,304,303,303,303,303,304,305,306,307,309,314,320,329,336,336,338,342,343,344,346,349,353,353,354,356,358,359,361,363,365,368,371,378,395,437,489,529,573,638,698,731,737,735,730,719,676,648,624,602,585,565,547,539,535,533,528,520,507,500,493,485,482,479,478,475,471,468","605,597,578,560,542,532,521,515,510,509,507,506,497,482,465,454,434,425,399,383,371,362,353,346,343,339,336,328,320,307,298,290,283,278,274,273,272,272,271,270,266,262,259,258,257,255,255,255,254,252,251,250,250,249,248,248,248,248,248,248,247,247,247,242,235,226,219,211,201,196,196,196,196,198,204,209,211,214,215,216,219,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221","1680007157508,1680007157518,1680007157535,1680007157552,1680007157568,1680007157585,1680007157602,1680007157618,1680007157635,1680007157676,1680007157692,1680007157701,1680007157718,1680007157734,1680007157751,1680007157767,1680007157784,1680007157802,1680007157817,1680007157834,1680007157850,1680007157867,1680007157884,1680007157901,1680007157917,1680007157934,1680007157952,1680007157968,1680007157984,1680007158004,1680007158021,1680007158035,1680007158051,1680007158068,1680007158085,1680007158101,1680007158123,1680007158139,1680007158152,1680007158168,1680007158186,1680007158202,1680007158219,1680007158235,1680007158251,1680007158268,1680007158285,1680007158316,1680007158322,1680007158335,1680007158353,1680007158368,1680007158433,1680007158449,1680007158456,1680007158472,1680007158561,1680007158568,1680007158584,1680007158600,1680007158618,1680007158635,1680007158651,1680007158667,1680007158684,1680007158701,1680007158717,1680007158734,1680007158751,1680007158768,1680007158784,1680007158827,1680007158836,1680007158851,1680007158868,1680007158885,1680007158901,1680007158918,1680007158935,1680007158952,1680007158969,1680007158985,1680007159002,1680007159018,1680007159035,1680007159051,1680007159068,1680007159085,1680007159102,1680007159118,1680007159135,1680007159151,1680007159168,1680007159186,1680007159202,1680007159218","124589","hidden","0","stim/MnM2.jpg","stim/Bounty.jpg",""
"null","","","html-keyboard-response","9","122156","0.0-10.0-0.0-2.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","fixationMouse","","","","","","","","","","","","null"
"1684","","0","html-button-response","10","124350","0.0-10.0-0.0-3.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"2170","stim/Timtam_double_coat.jpg,stim/Reeses.jpg","","cta-radio","11","126525","0.0-10.1-0.1-1.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","trial","","","stim/Reeses.jpg","680,680,682,682,684,684,687,687,690,690,690,685,679,674,665,653,639,624,607,593,577,562,550,538,523,510,498,492,487,483,482,479,478,479,482,486,493,511,536,552,565,570,574,579,592,606,622,635,641,644,645,647,653,665,672,677,678,680,688,702,711,717,721,730,744,753,757,759,763,770,790,808,825,843,857,872,887,902,923,941,954,961,964,966,967,968,968,968,968,968,968,968,967,966","603,601,595,593,586,583,575,573,565,555,540,520,494,478,463,444,423,397,373,353,331,314,300,287,266,250,234,222,214,208,207,205,205,205,206,209,212,218,223,225,228,230,232,234,242,247,251,255,257,257,259,260,263,266,268,268,268,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,266,264,261,260,257,254,249,245,244,242,242,241,241,240,239,238,237,235,234,233,232","1680007161827,1680007161835,1680007161852,1680007161870,1680007161884,1680007161900,1680007161928,1680007161936,1680007161952,1680007161968,1680007161984,1680007162001,1680007162017,1680007162033,1680007162051,1680007162067,1680007162084,1680007162101,1680007162118,1680007162134,1680007162150,1680007162167,1680007162184,1680007162201,1680007162218,1680007162234,1680007162251,1680007162267,1680007162284,1680007162300,1680007162317,1680007162334,1680007162350,1680007162417,1680007162434,1680007162450,1680007162467,1680007162484,1680007162500,1680007162517,1680007162534,1680007162550,1680007162567,1680007162584,1680007162600,1680007162617,1680007162634,1680007162651,1680007162668,1680007162684,1680007162701,1680007162718,1680007162734,1680007162752,1680007162769,1680007162785,1680007162802,1680007162852,1680007162868,1680007162885,1680007162901,1680007162918,1680007162935,1680007162951,1680007162969,1680007162985,1680007163001,1680007163018,1680007163035,1680007163052,1680007163068,1680007163085,1680007163102,1680007163118,1680007163135,1680007163152,1680007163168,1680007163187,1680007163202,1680007163218,1680007163235,1680007163251,1680007163268,1680007163284,1680007163301,1680007163399,1680007163433,1680007163449,1680007163489,1680007163529,1680007163545,1680007163553,1680007163568,1680007163584","128909","hidden","1","stim/Timtam_double_coat.jpg","stim/Reeses.jpg",""
"null","","","html-keyboard-response","12","126640","0.0-10.1-0.1-2.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","fixationMouse","","","","","","","","","","","","null"
"1199","","0","html-button-response","13","128343","0.0-10.1-0.1-3.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"1316","You are now ready to begin the task.","0","html-button-response","14","129662","0.0-11.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","[object Object]","","","","","","","","","","","",""
"1493","","0","html-button-response","15","131157","0.0-12.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"1323","stim/Twix.jpg,stim/Reeses_white.jpg","","cta-radio","16","132481","0.0-13.0-0.0-1.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","trial","","","stim/Twix.jpg","673,673,673,673,675,692,715,733,737,737,729,708,652,568,505,464,440,425,418,425,497,611,727,819,856,859,857,846,804,739,627,601,556,552,550,548,542,537,536,534,531,524,505,493,478,461,440,422,414,410,404,394,382,367,365,365,365,365,365,368,372,374,375","606,605,601,594,577,529,485,449,432,420,411,404,399,399,399,399,395,389,386,383,364,334,301,274,266,264,264,265,272,278,292,295,302,303,303,303,303,302,301,298,296,290,283,278,273,265,259,254,250,246,241,230,220,214,213,212,211,210,208,207,206,205,205","1680007168554,1680007168567,1680007168584,1680007168600,1680007168617,1680007168633,1680007168650,1680007168667,1680007168684,1680007168701,1680007168717,1680007168734,1680007168751,1680007168768,1680007168784,1680007168801,1680007168818,1680007168834,1680007168851,1680007168867,1680007168884,1680007168901,1680007168917,1680007168934,1680007168951,1680007168968,1680007168987,1680007169002,1680007169018,1680007169035,1680007169051,1680007169067,1680007169084,1680007169101,1680007169139,1680007169151,1680007169168,1680007169185,1680007169201,1680007169218,1680007169234,1680007169251,1680007169268,1680007169285,1680007169301,1680007169319,1680007169334,1680007169350,1680007169369,1680007169385,1680007169401,1680007169418,1680007169434,1680007169452,1680007169468,1680007169492,1680007169515,1680007169555,1680007169571,1680007169585,1680007169601,1680007169618,1680007169684","135636","hidden","0","stim/Twix.jpg","stim/Reeses_white.jpg",""
"null","","","html-keyboard-response","17","132594","0.0-13.0-0.0-2.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","fixationMouse","","","","","","","","","","","","null"
"996","","0","html-button-response","18","134102","0.0-13.0-0.0-3.0","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
"1862","stim/Oreo.jpg,stim/Mars.bmp","","cta-radio","19","135968","0.0-13.1-0.1-1.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","trial","","","stim/Oreo.jpg","675,675,673,667,661,655,641,626,604,583,566,551,539,525,508,504,504,515,526,530,532,533,536,541,543,544,546,556,574,590,625,696,799,879,924,939,941,942,942,942,935,912,867,785,676,563,466,395,362,337,332,319,312,308,306,304,300,299,297,294,293,290,287,287,286,278,262,250,244,243,243,243,250,257,276,304,327,331,333,335,336,338,339,342,347,358,373,379","596,595,591,583,573,562,541,519,495,471,447,426,407,387,364,355,347,331,311,295,278,271,265,257,255,254,253,253,253,266,289,324,355,363,363,358,356,354,353,346,338,326,312,293,280,264,252,243,238,232,229,225,222,220,219,217,215,214,213,213,213,213,213,212,212,212,212,212,212,212,211,210,209,206,202,201,200,200,200,200,200,200,200,202,205,209,213,214","1680007171611,1680007171618,1680007171638,1680007171650,1680007171667,1680007171684,1680007171700,1680007171717,1680007171734,1680007171750,1680007171767,1680007171784,1680007171800,1680007171817,1680007171834,1680007171850,1680007171867,1680007171884,1680007171900,1680007171917,1680007171933,1680007171950,1680007171967,1680007171984,1680007172000,1680007172035,1680007172051,1680007172067,1680007172084,1680007172101,1680007172117,1680007172134,1680007172151,1680007172168,1680007172185,1680007172201,1680007172218,1680007172234,1680007172251,1680007172267,1680007172284,1680007172301,1680007172317,1680007172334,1680007172351,1680007172368,1680007172386,1680007172401,1680007172420,1680007172437,1680007172452,1680007172467,1680007172484,1680007172500,1680007172517,1680007172534,1680007172551,1680007172568,1680007172597,1680007172611,1680007172619,1680007172634,1680007172651,1680007172668,1680007172685,1680007172701,1680007172717,1680007172734,1680007172751,1680007172767,1680007172809,1680007172817,1680007172834,1680007172850,1680007172867,1680007172883,1680007172900,1680007172916,1680007172961,1680007172969,1680007172983,1680007173000,1680007173067,1680007173084,1680007173101,1680007173117,1680007173134,1680007173151","138694","hidden","1","stim/Oreo.jpg","stim/Mars.bmp",""
"null","","","html-keyboard-response","20","136079","0.0-13.1-0.1-2.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","fixationMouse","","","","","","","","","","","","null"
"968","","0","html-button-response","21","137558","0.0-13.1-0.1-3.1","First_First","Yes","6417413921c539fd7d59e6e6","To decide between options","","yes","Left handed","Female","41","","","","","","","","","","","","","","",""
